53.6301728,-6.2687995,31/01/2011,3,223661.2450784226
52.1676378,-8.326837405,31/01/2011,3,188982.73927730587
53.8049665,-8.8587527,31/01/2011,2,111623.21630478435
53.3176,-6.28769,01/02/2011,3,434740.3964224235
53.285509,-6.2712803,01/02/2011,4,502853.6161122995
53.3357165,-6.5501904,01/02/2011,3,253073.27795712816
53.3178,-6.27689,01/02/2011,3,505042.368683509
53.08113239,-6.776187325,01/02/2011,4,395327.49673730077
51.9354438,-8.3888167,01/02/2011,3,177166.67396225192
53.2897674,-6.2468587,01/02/2011,2,306522.994615587
53.4019687,-6.4400638,01/02/2011,4,200208.15607300817
53.3812726,-6.2067541,01/02/2011,4,384536.5130075019
53.2899114,-6.1317229,01/02/2011,2,284340.3748462653
53.3577782,-6.2735076,01/02/2011,1,114773.86582471042
53.2929512,-6.2320161,01/02/2011,4,532242.842404523
53.3474387,-6.4215517,01/02/2011,3,227740.36698882232
51.90609112,-8.458789077,01/02/2011,2,50005.9181053722
53.3658487,-6.2729168,01/02/2011,3,366747.0476716952
53.5714858,-6.1120462,01/02/2011,3,297788.70606476435
53.3201589,-6.2947453,01/02/2011,3,285618.1623911482
53.3416613,-6.4245129,01/02/2011,3,244426.95515461935
53.3476156,-6.2662132,01/02/2011,2,292022.19443344866
53.3355,-6.52728,01/02/2011,3,288166.92296195304
53.3519143,-6.4388861,01/02/2011,3,249654.53816117585
53.3438093,-6.5517419,01/02/2011,4,333587.96094821923
53.387744,-6.2320928,01/02/2011,3,266425.80325105536
52.1669567,-7.1659827,02/02/2011,3,233559.9139509451
52.1490274,-7.1641374,02/02/2011,4,368492.7513304229
52.4080708,-8.505504727,02/02/2011,3,187449.3832928919
52.6524449,-8.6253577,02/02/2011,3,77443.64638797233
52.6703846,-8.5794548,02/02/2011,5,211277.82432595902
53.3207197,-6.208274,02/02/2011,3,527694.1193006713
52.1600333,-7.2293472,02/02/2011,5,786955.7098281182
52.1692007,-7.1352875,02/02/2011,3,232948.90579996014
52.62889532,-8.478012085,02/02/2011,4,359301.00911151955
52.6653457,-8.5914139,02/02/2011,6,164430.76745614992
52.7112798,-8.4056492,02/02/2011,2,87046.9235176862
52.1706418,-7.1566916,02/02/2011,4,297285.78226016095
52.1597701,-7.155447,02/02/2011,5,304407.4823384052
52.1658775,-7.147969,02/02/2011,4,361519.72053809755
52.541812,-8.7913774,02/02/2011,3,388920.1509125989
52.1621131,-7.1684933,02/02/2011,3,244353.29713488766
52.6412616,-8.8685567,02/02/2011,3,160456.67431361624
53.30635452,-6.252322674,02/02/2011,4,652347.8153391177
52.683995,-8.360236,02/02/2011,4,265626.52447319747
52.36912753,-8.464708328,02/02/2011,4,274599.1905438965
52.5713612,-8.5918849,02/02/2011,2,235356.74532300644
52.65614013,-8.629267216,02/02/2011,4,243280.63879494453
52.3773879,-8.3545602,02/02/2011,3,189435.3472265443
52.6138031,-8.3417478,02/02/2011,4,406497.9352300039
53.362684,-6.249506,02/02/2011,2,222506.6497986217
53.3913888,-6.2406539,02/02/2011,3,258172.97890639293
53.3538995,-6.2341949,03/02/2011,2,167643.34524062433
52.23227111,-8.66935264,03/02/2011,3,135910.55828726632
52.14992102,-8.636427171,03/02/2011,3,180621.76811876404
53.3223762,-6.2081122,03/02/2011,2,392279.3311515582
53.7813837,-9.6254826,03/02/2011,2,149509.7737740213
52.1924281,-8.642263658,03/02/2011,4,335020.1188366421
53.2301395,-6.65345,03/02/2011,3,235882.31537538432
53.39976464,-6.252815955,04/02/2011,4,353819.7043148566
53.686688,-8.607084,07/02/2011,4,44315.941280225416
53.2451871,-6.1194706,07/02/2011,4,429184.177503694
51.8647133,-8.4549559,07/02/2011,3,241415.83849076572
52.8583219,-6.911075903,07/02/2011,3,155121.29299840255
53.3278743,-8.1909084,07/02/2011,3,155978.85581259525
53.3839887,-6.2065819,07/02/2011,3,285305.1124826121
52.9835073,-7.0000076,07/02/2011,3,149399.36913957782
53.3299073,-6.2652043,08/02/2011,2,230826.04866120577
52.2341379,-7.0765452,08/02/2011,4,354558.0067665391
53.2026984,-6.1121364,08/02/2011,2,190616.87040962517
53.398548,-6.427632,08/02/2011,4,261746.3296921028
53.51809026,-7.338703573,08/02/2011,3,149954.95822754304
53.3936688,-6.2909487,08/02/2011,3,217914.33776620068
53.69427156,-7.607725114,08/02/2011,4,78895.55064161475
52.2488868,-7.0992022,08/02/2011,3,187812.93047598656
53.48944351,-7.228808105,08/02/2011,3,166641.16437804303
53.3530106,-6.3693343,08/02/2011,3,278589.48063082324
53.3350984,-6.237730469,09/02/2011,4,462626.56754738756
53.65023422,-6.671233177,09/02/2011,3,179075.6784011931
51.9099232,-8.422143,09/02/2011,4,147491.00776037414
53.963089,-8.7911906,09/02/2011,2,115532.45557432798
53.2102477,-6.1226463,09/02/2011,4,300415.1717872871
53.35806946,-6.411917686,09/02/2011,2,215091.7061192062
53.9762083,-9.1185435,09/02/2011,5,329664.139960566
53.4029057,-6.292913,10/02/2011,3,223029.03378826575
53.30051776,-6.329884529,10/02/2011,3,304169.65307035897
53.1899117,-6.1258891,10/02/2011,2,269945.3364081244
53.34876826,-6.344286187,10/02/2011,2,221334.1424159714
52.2032935,-8.265152,11/02/2011,4,458464.1857325392
53.27772784,-6.185043162,11/02/2011,2,357798.3484192806
54.20960154,-8.517670721,11/02/2011,4,249211.56529630054
52.9438798,-6.7123032,14/02/2011,3,177799.0044982781
53.34693277,-6.546757221,14/02/2011,3,218238.27244641274
53.3477312,-6.4186211,14/02/2011,3,223096.47070831744
